"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Daucus sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Dendrobium sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Dianella sp.","Land Border - Truck - Cargo - CBP",1
"Other","Dianthus caryophyllus","Airport - Aircraft - Cargo - CBP",1
"Other","Dianthus caryophyllus","Land Border - Truck - Conveyance - CBP",1
"Other","Dischidia sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Dracaena sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Dysphania ambrosioides","Airport - Aircraft - Cargo - CBP",1
"Other","Echeveria serrana  (Crassulaceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Echinacea sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Elymus sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Epipremnum sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Eryngium sp. ","Maritime Port - Vessel - Cargo - CBP",1
"Other","Eucalyptus sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Eucalyptus sp.","Maritime Port - Vessel - Cargo - CBP",1
"Other","Fernaldia pandurata","Airport - Aircraft - Cargo - CBP",1
"Other","Gomphrena globosa","Airport - Aircraft - Cargo - CBP",1
"Other","Gomphrena sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Helichrysum sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Hoya lauterbachii  (Apocynaceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Hoya macrophyla  (Apocynaceae)","Airport - Aircraft - Cargo - PIS",1
